"Name","Product_Group__c","Cost_Category__c","Cost_Type__c","ProductCode","Unique_ProductCode__c","IsActive","Product_Category__c","Manual_Processing__c","Product_Name_EN__c"
"LAMI 5ka+5ka IG-49 Opal+Blue GROOVE","LG","FactoryPurchase","tuotteet","LG-23952319","LG23952319","true","Product Options","false","LAMI 5ka+5ka IG-49 Opal+Blue GROOVE"
"LAMI 5ka+5ka IG-53 2xBlue GROOVE","LG","FactoryPurchase","tuotteet","LG-23952320","LG23952320","true","Product Options","false","LAMI 5ka+5ka IG-53 2xBlue GROOVE"
"LAMI 5ka+5ka IG-71 Blue GROOVE","LG","FactoryPurchase","tuotteet","LG-23952322","LG23952322","true","Product Options","false","LAMI 5ka+5ka IG-71 Blue GROOVE"
"LAMI 5ka+5ka True Blue GROOVE","LG","FactoryPurchase","tuotteet","LG-23952323","LG23952323","true","Product Options","false","LAMI 5ka+5ka True Blue GROOVE"
"LAMI 5ka+5ka Deep Red GROOVE","LG","FactoryPurchase","tuotteet","LG-23952328","LG23952328","true","Product Options","false","LAMI 5ka+5ka Deep Red GROOVE"
"LAMI 5ka+5ka Polar White GROOVE","LG","FactoryPurchase","tuotteet","LG-23952329","LG23952329","true","Product Options","false","LAMI 5ka+5ka Polar White GROOVE"
"LAMI 5ka+5ka (Special)","LG","FactoryPurchase","tuotteet","LG-23952399","LG23952399","true","Product Options","false","LAMI 5ka+5ka (Special)"
"LAMI 6+6 IG-20 2xGrey","LG","FactoryPurchase","tuotteet","LG-23954001","LG23954001","true","Product Options","false","LAMI 6+6 IG-20 2xGrey"
"LAMI 6+6 IG-27 Opal+Grey","LG","FactoryPurchase","tuotteet","LG-23954002","LG23954002","true","Product Options","false","LAMI 6+6 IG-27 Opal+Grey"
"LAMI 6+6st IG-41 Grey","LG","FactoryPurchase","tuotteet","LG-23954003","LG23954003","true","Product Options","false","LAMI 6+6st IG-41 Grey"
"LAMI 6+6 IG-42 Grey","LG","FactoryPurchase","tuotteet","LG-23954004","LG23954004","true","Product Options","false","LAMI 6+6 IG-42 Grey"
"LAMI 6+6st IG-08 Dark brown","LG","FactoryPurchase","tuotteet","LG-23954005","LG23954005","true","Product Options","false","LAMI 6+6st IG-08 Dark brown"
"LAMI 6+6 IG-09 Dark brown","LG","FactoryPurchase","tuotteet","LG-23954006","LG23954006","true","Product Options","false","LAMI 6+6 IG-09 Dark brown"
"LAMI 6+6 IG-28 Mid brown","LG","FactoryPurchase","tuotteet","LG-23954007","LG23954007","true","Product Options","false","LAMI 6+6 IG-28 Mid brown"
"LAMI 6+6 IG-55 Light brown","LG","FactoryPurchase","tuotteet","LG-23954008","LG23954008","true","Product Options","false","LAMI 6+6 IG-55 Light brown"
"LAMI 6+6 IG-50 Opal+Green","LG","FactoryPurchase","tuotteet","LG-23954009","LG23954009","true","Product Options","false","LAMI 6+6 IG-50 Opal+Green"
"LAMI 6+6 IG-56 2xGreen","LG","FactoryPurchase","tuotteet","LG-23954010","LG23954010","true","Product Options","false","LAMI 6+6 IG-56 2xGreen"
"LAMI 6+6st IG-72 Green","LG","FactoryPurchase","tuotteet","LG-23954011","LG23954011","true","Product Options","false","LAMI 6+6st IG-72 Green"
"LAMI 6+6 IG-73 Green","LG","FactoryPurchase","tuotteet","LG-23954012","LG23954012","true","Product Options","false","LAMI 6+6 IG-73 Green"
"LAMI 6+6st IG-87 Clear","LG","FactoryPurchase","tuotteet","LG-23954013","LG23954013","true","Product Options","false","LAMI 6+6st IG-87 Clear"
"LAMI 6+6 IG88 Clear","LG","FactoryPurchase","tuotteet","LG-23954014","LG23954014","true","Product Options","false","LAMI 6+6 IG88 Clear"
"LAMI 6+6 Opal IG 65","LG","FactoryPurchase","tuotteet","LG-23954016","LG23954016","true","Product Options","false","LAMI 6+6 Opal IG 65"
"LAMI 6+6 IG-80 Light opal","LG","FactoryPurchase","tuotteet","LG-23954017","LG23954017","true","Product Options","false","LAMI 6+6 IG-80 Light opal"
"LAMI 6+6 IG-49 Opal+Blue","LG","FactoryPurchase","tuotteet","LG-23954019","LG23954019","true","Product Options","false","LAMI 6+6 IG-49 Opal+Blue"
"LAMI 6+6 IG-53 2xBlue","LG","FactoryPurchase","tuotteet","LG-23954020","LG23954020","true","Product Options","false","LAMI 6+6 IG-53 2xBlue"
"hintaparametri MALLI yht kpl väliseinä EI30 rahti","LG","SalesFreight","rahti","LG-PD9350023","LGPD9350023","true","Product Options","false",""
"hintaparametri KEHA_JM VS Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350024","LGPD9350024","true","Product Options","false",""
"hintaparametri PINTA_ALA VS Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350025","LGPD9350025","true","Product Options","false",""
"hintaparametri MALLI 1 väliseinä Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350026","LGPD9350026","true","Product Options","false",""
"hintaparametri MALLI 2.1 väliseinä Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350027","LGPD9350027","true","Product Options","false",""
"hintaparametri MALLI 2.2 väliseinä Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350028","LGPD9350028","true","Product Options","false",""
"hintaparametri MALLI 3.1 väliseinä Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350029","LGPD9350029","true","Product Options","false",""
"hintaparametri MALLI 3.2 väliseinä Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350030","LGPD9350030","true","Product Options","false",""
"hintaparametri MALLI 4.1 väliseinä Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350031","LGPD9350031","true","Product Options","false",""
"hintaparametri MALLI 4.2 väliseinä Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350032","LGPD9350032","true","Product Options","false",""
"hintaparametri VERHOUS_PA väliseinä Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350033","LGPD9350033","true","Product Options","false",""
"hintaparametri MALLI yht kpl väliseinä Wood Panel EI30 asennus","LG","Wages","asennus","LG-PD9350034","LGPD9350034","true","Product Options","false",""
"hintaparametri MALLI yht kpl väliseinä Wood Panel EI30 asennuskuormitus","LG","Manhours","askuormitu","LG-PD9350035","LGPD9350035","true","Services","false",""
"hintaparametri MALLI yht kpl väliseinä Wood Panel EI30 rahti","LG","SalesFreight","rahti","LG-PD9350036","LGPD9350036","true","Product Options","false",""
"Hintaparametri HR2_värilisä VS Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350037","LGPD9350037","true","Product Options","false",""
"Hintaparametri HR3_värilisä VS Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350038","LGPD9350038","true","Product Options","false",""
"Hintaparametri HR4_värilisä VS Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350039","LGPD9350039","true","Product Options","false",""
"Hintaparametri HR5_värilisä VS Wood Panel EI30","LG","FactoryPurchase","tuotteet","LG-PD9350040","LGPD9350040","true","Product Options","false",""
"Hintaparametri Silkkipainatus","LG","FactoryPurchase","tuotteet","LG-PD9370023","LGPD9370023","true","Product Options","false",""
"Hintaparametri HPO_osapuhallus KAIDE","LG","FactoryPurchase","tuotteet","LG-PD9370024","LGPD9370024","true","Product Options","false",""
"Hintaparametri HPK_kokopuhallus KAIDE","LG","FactoryPurchase","tuotteet","LG-PD9370025","LGPD9370025","true","Product Options","false",""
"Hintaparametri Seinäkiinnitys betoni + kj 105/pinna","LG","FactoryPurchase","tuotteet","LG-PD9370065","LGPD9370065","true","Product Options","false",""
"Hintaparametri Seinäkiinnitys puu + kj 105/pinna","LG","FactoryPurchase","tuotteet","LG-PD9370066","LGPD9370066","true","Product Options","false",""
"Hintaparametri Seinäkiinnitys teräs + kj 105/pinna","LG","FactoryPurchase","tuotteet","LG-PD9370067","LGPD9370067","true","Product Options","false",""
"Hintaparametri Kolous suorakaide","LG","FactoryPurchase","tuotteet","LG-PD9370072","LGPD9370072","true","Product Options","false",""
"Hintaparametri Kolous pyöreä","LG","FactoryPurchase","tuotteet","LG-PD9370073","LGPD9370073","true","Product Options","false",""
"Hintaparametri HP_alareunapuhallus","LG","FactoryPurchase","tuotteet","LG-PD9370134","LGPD9370134","true","Product Options","false",""
"Hintaparametri Handrail bracket 200","LG","FactoryPurchase","tuotteet","LG-PD9370181","LGPD9370181","true","Product Options","false",""
"Hintaparametri Handrail bracket 200 + decor profile","LG","FactoryPurchase","tuotteet","LG-PD9370182","LGPD9370182","true","Product Options","false",""
